name,description,aadhar,contact,email,address,username
Rajesh Bhat,Financial Aid,123487956541,9876543219,rajesh@gmail.com,Maharashtra,raj1234
Suraj Sharma,Research,878945682314,7894563210,sharma@yahoo.in,Gujarat,suraj45
Ram Singh,Food ,457865412589,7894512365,ramsingh@gmail.com,Uttar Pradesh,ram32
Rahul Iyer,Financial Aid,879547892165,9987652314,rahul@gmail.com,Tamil Nadu,rahul12
Sumeet Sawant,Food ,451268954231,7895463215,sumeet@yahoo.in,Maharashtra,sumeet56
Ramesh Pande,Research,789542136598,2568984787,ram@gmail.com,Bihar,ramesh11
Rupesh Saini,Financial Aid,745125698754,4568792145,rupesh@yahoo.in,Punjab,rupesh35
Akash Shah,Food ,548963214789,4561237891,akash@gmail.com,Gujarat,ak64
Ramesh Gaikwad,Food,998766554312,7892345612,ramesh@gmail.com,Gujarat,ram12
Suresh jha,Financial Aid,457685413212,9044552121,suresh@gmail.com,Maharashtra,sur23
Rajesh kumar,Food,659547892165,7894512366,Rajesh@gmail.com,Tamil Nadu,raj34
Sanjhiv Mishra,Financial Aid,979547892165,8894512365,sanjhiv@gmail.com,Maharashtra,san45
Jyotiraditya,Reserach,122347892165,7894512365,jyotiraditya@gmail.com,Gujarat,jyo56
Sanjay khair,Food,834547892165,4588792145,sanjay@gmail.com,Gujarat,sa12
grish jha,Food,954127892165,7528792145,girish@gmail.com,Tamil Nadu,gir67
akshay sharma,Financial aid,898795472165,4568792145,akshay@gmail.com,Gujarat,aks77
lokesh sethi,food,459547892165,1568792145,lokesh@gmail.com,Maharashtra,lok78
hitesh kumar,Finacial aid,549547892165,2568792145,hitesh@gmail.com,Gujarat,hi56
Romin irani,Research,189547892165,3568792145,romin@gmail.com,Uttarpradesh,rom233
Nikhilesh singh,Research,198547892165,8568792145,nikhilesh@gmail.com,Maharashtra,nik12345
Nilkant Kumar,Research,164547892165,9568792145,nilkant@gmail.com,Uttarpradesh,nil54
Saurabh Ganguli,Food,635547892165,6568792145,saurabh@gmail.com,Gujarat,sau77
Shashi Tharoor,Education,743547892165,6668792145,shashi@gmail.com,Uttarpradesh,sha87
shrikant padhy ,finacial aid,219547892165,7768792145,shrikant@gmail.com,Maharashtra,shri99
mahodar majgaonkar,financial aid,122547892165,1118792145,mahodar@gmail.com,Uttarpradesh,mah78
shilpa shukla ,financial aid,655547892165,3468792145,shilpa@gmail.com,Gujarat,shi71
kisame,food,989547892165,4868792145,kisame@gmail.com,Uttarpradesh,kis531
Tejas pal,food,366647892165,1368792145,tejas@gmail.com,Maharashtra,tej651
Tejal Singh,food,366747892165,7568792145,tejal@gmail.com,Tamil Nadu,jal54
Shakti gupta ,food,365647892165,6568792145,shakti@gmail.com,Tamil Nadu,shak122
Zakir Khan,Research,466647892165,9968792145,zakir@gmail.com,Uttarpradesh,zak34
Nizam,Research,465467892165,7828792145,nizam@gmail.com,Gujarat,niz12
